"Name","Year","Gross Export","Share"
"Aruba","2019","$23.8M","0.01%"
"Afghanistan","2019","$32.1M","0.01%"
"Angola","2019","$445M","0.21%"
"Anguilla","2019","$1.10M","0.00%"
"Albania","2019","$57.4M","0.03%"
"Andorra","2019","$2.04M","0.00%"
"United Arab Emirates","2019","$2.23B","1.03%"
"Argentina","2019","$9.82B","4.53%"
"Armenia","2019","$23.4M","0.01%"
"American Samoa","2019","$667k","0.00%"
"Antarctica","2019","$103k","0.00%"
"Antigua and Barbuda","2019","$24.5M","0.01%"
"Australia","2019","$475M","0.22%"
"Austria","2019","$155M","0.07%"
"Azerbaijan","2019","$13.6M","0.01%"
"Burundi","2019","$208k","0.00%"
"Belgium","2019","$3.03B","1.40%"
"Benin","2019","$97.9M","0.05%"
"Bonaire","2019","$21.1M","0.01%"
"Burkina Faso","2019","$8.37M","0.00%"
"Bangladesh","2019","$1.32B","0.61%"
"Bulgaria","2019","$117M","0.05%"
"Bahrain","2019","$677M","0.31%"
"The Bahamas","2019","$175M","0.08%"
"Bosnia and Herzegovina","2019","$2.63M","0.00%"
"Saint Barthélemy","2019","$2.31M","0.00%"
"Belarus","2019","$136M","0.06%"
"Belize","2019","$7.20M","0.00%"
"Bermuda","2019","$4.94M","0.00%"
"Bolivia","2019","$1.41B","0.65%"
"Barbados","2019","$16.8M","0.01%"
"Brunei","2019","$1.97M","0.00%"
"Botswana","2019","$1.68M","0.00%"
"Central African Republic","2019","$3.11M","0.00%"
"Canada","2019","$3.35B","1.55%"
"Switzerland","2019","$1.24B","0.57%"
"Chile","2019","$5.11B","2.36%"
"China","2019","$63.4B","29.27%"
"Côte d'Ivoire","2019","$61.0M","0.03%"
"Cameroon","2019","$35.0M","0.02%"
"Democratic Republic of the Congo","2019","$50.3M","0.02%"
"Republic of the Congo","2019","$22.2M","0.01%"
"Colombia","2019","$3.11B","1.44%"
"Comoros","2019","$5.05M","0.00%"
"Cabo Verde","2019","$24.8M","0.01%"
"Costa Rica","2019","$287M","0.13%"
"Cuba","2019","$267M","0.12%"
"Curaçao","2019","$25.9M","0.01%"
"Cayman Islands","2019","$22.1M","0.01%"
"Cyprus","2019","$72.5M","0.03%"
"Czechia","2019","$96.6M","0.04%"
"Germany","2019","$5.57B","2.58%"
"Djibouti","2019","$6.66M","0.00%"
"Dominica","2019","$4.46M","0.00%"
"Denmark","2019","$265M","0.12%"
"Dominican Republic","2019","$680M","0.31%"
"Algeria","2019","$1.03B","0.48%"
"Ecuador","2019","$826M","0.38%"
"Egypt","2019","$1.89B","0.87%"
"Eritrea","2019","$238k","0.00%"
"Spain","2019","$3.70B","1.71%"
"Estonia","2019","$18.7M","0.01%"
"Ethiopia","2019","$7.98M","0.00%"
"Finland","2019","$223M","0.10%"
"Fiji","2019","$1.05M","0.00%"
"France","2019","$2.68B","1.24%"
"Gabon","2019","$37.8M","0.02%"
"United Kingdom","2019","$3.01B","1.39%"
"Georgia","2019","$181M","0.08%"
"Ghana","2019","$130M","0.06%"
"Gibraltar","2019","$2.18M","0.00%"
"Guinea","2019","$50.0M","0.02%"
"The Gambia","2019","$78.7M","0.04%"
"Guinea-Bissau","2019","$4.19M","0.00%"
"Equatorial Guinea","2019","$9.50M","0.00%"
"Greece","2019","$166M","0.08%"
"Grenada","2019","$10.0M","0.00%"
"Guatemala","2019","$284M","0.13%"
"Guam","2019","$427k","0.00%"
"Guyana","2019","$46.5M","0.02%"
"Hong Kong","2019","$2.41B","1.11%"
"Honduras","2019","$108M","0.05%"
"Croatia","2019","$86.2M","0.04%"
"Haiti","2019","$40.6M","0.02%"
"Hungary","2019","$82.0M","0.04%"
"Indonesia","2019","$1.68B","0.77%"
"India","2019","$2.69B","1.24%"
"Ireland","2019","$248M","0.11%"
"Iran","2019","$2.19B","1.01%"
"Iraq","2019","$658M","0.30%"
"Iceland","2019","$118M","0.05%"
"Israel","2019","$364M","0.17%"
"Italy","2019","$2.88B","1.33%"
"Jamaica","2019","$79.8M","0.04%"
"Jordan","2019","$330M","0.15%"
"Japan","2019","$5.66B","2.62%"
"Kazakhstan","2019","$118M","0.05%"
"Kenya","2019","$56.1M","0.03%"
"Cambodia","2019","$19.2M","0.01%"
"Kiribati","2019","$289k","0.00%"
"Saint Kitts and Nevis","2019","$3.38M","0.00%"
"South Korea","2019","$3.45B","1.59%"
"Kuwait","2019","$212M","0.10%"
"Laos","2019","$1.67M","0.00%"
"Lebanon","2019","$240M","0.11%"
"Liberia","2019","$257M","0.12%"
"Libya","2019","$281M","0.13%"
"Saint Lucia","2019","$54.7M","0.03%"
"Sri Lanka","2019","$22.0M","0.01%"
"Lithuania","2019","$23.6M","0.01%"
"Luxembourg","2019","$134M","0.06%"
"Latvia","2019","$73.1M","0.03%"
"Macao","2019","$46.3M","0.02%"
"Morocco","2019","$468M","0.22%"
"Moldova","2019","$9.44M","0.00%"
"Madagascar","2019","$25.6M","0.01%"
"Maldives","2019","$16.1M","0.01%"
"Mexico","2019","$4.94B","2.28%"
"Marshall Islands","2019","$216M","0.10%"
"North Macedonia","2019","$16.3M","0.01%"
"Mali","2019","$16.4M","0.01%"
"Malta","2019","$137M","0.06%"
"Myanmar","2019","$56.0M","0.03%"
"Montenegro","2019","$14.7M","0.01%"
"Mongolia","2019","$5.04M","0.00%"
"Mozambique","2019","$35.1M","0.02%"
"Mauritania","2019","$111M","0.05%"
"Montserrat","2019","$104k","0.00%"
"Mauritius","2019","$39.7M","0.02%"
"Malawi","2019","$1.27M","0.00%"
"Malaysia","2019","$2.55B","1.18%"
"Namibia","2019","$8.83M","0.00%"
"New Caledonia","2019","$10.3M","0.00%"
"Niger","2019","$24.6M","0.01%"
"Norfolk Island","2019","$722k","0.00%"
"Nigeria","2019","$592M","0.27%"
"Nicaragua","2019","$69.4M","0.03%"
"Netherlands","2019","$6.22B","2.88%"
"Norway","2019","$1.08B","0.50%"
"Nepal","2019","$2.38M","0.00%"
"New Zealand","2019","$76.1M","0.04%"
"Oman","2019","$939M","0.43%"
"Pakistan","2019","$577M","0.27%"
"Panama","2019","$523M","0.24%"
"Pitcairn","2019","$195k","0.00%"
"Peru","2019","$2.23B","1.03%"
"Philippines","2019","$669M","0.31%"
"Palau","2019","$162k","0.00%"
"Papua New Guinea","2019","$3.32M","0.00%"
"Poland","2019","$900M","0.42%"
"North Korea","2019","$19.9M","0.01%"
"Portugal","2019","$1.16B","0.53%"
"Paraguay","2019","$2.49B","1.15%"
"Palestine","2019","$22.6M","0.01%"
"French Polynesia","2019","$3.75M","0.00%"
"Qatar","2019","$484M","0.22%"
"Romania","2019","$315M","0.15%"
"Russia","2019","$1.63B","0.75%"
"Rwanda","2019","$574k","0.00%"
"Saudi Arabia","2019","$1.99B","0.92%"
"Sudan","2019","$17.3M","0.01%"
"Senegal","2019","$135M","0.06%"
"Singapore","2019","$2.76B","1.27%"
"Saint Helena, Ascension and Tristan da Cunha","2019","$1.06M","0.00%"
"Sierra Leone","2019","$40.3M","0.02%"
"El Salvador","2019","$102M","0.05%"
"San Marino","2019","$1.41M","0.00%"
"Somalia","2019","$20.5M","0.01%"
"Serbia","2019","$31.1M","0.01%"
"South Sudan","2019","$1.81M","0.00%"
"Sao Tome and Principe","2019","$3.22M","0.00%"
"Suriname","2019","$35.5M","0.02%"
"Slovakia","2019","$43.6M","0.02%"
"Slovenia","2019","$299M","0.14%"
"Sweden","2019","$426M","0.20%"
"Eswatini","2019","$141k","0.00%"
"St-Martin / St Maarten","2019","$7.55M","0.00%"
"Seychelles","2019","$6.45M","0.00%"
"Syria","2019","$62.9M","0.03%"
"Turks and Caicos Islands","2019","$10.6M","0.00%"
"Chad","2019","$2.00M","0.00%"
"Togo","2019","$48.7M","0.02%"
"Thailand","2019","$1.63B","0.75%"
"Tajikistan","2019","$206k","0.00%"
"Turkmenistan","2019","$7.70M","0.00%"
"Timor-Leste","2019","$6.71M","0.00%"
"Tonga","2019","$1.00M","0.00%"
"Trinidad and Tobago","2019","$219M","0.10%"
"Tunisia","2019","$216M","0.10%"
"Turkey","2019","$2.15B","0.99%"
"Tuvalu","2019","$739k","0.00%"
"Tanzania","2019","$16.3M","0.01%"
"Uganda","2019","$6.74M","0.00%"
"Ukraine","2019","$118M","0.05%"
"US Minor Outlying Islands","2019","$168k","0.00%"
"Uruguay","2019","$2.44B","1.13%"
"United States of America","2019","$26.3B","12.17%"
"Uzbekistan","2019","$29.4M","0.01%"
"Saint Vincent and the Grenadines","2019","$2.01M","0.00%"
"Venezuela","2019","$421M","0.19%"
"British Virgin Islands","2019","$13.1M","0.01%"
"Vietnam","2019","$2.04B","0.94%"
"Vanuatu","2019","$1.17M","0.00%"
"Wallis and Futuna","2019","$503k","0.00%"
"Samoa","2019","$990k","0.00%"
"Yemen","2019","$337M","0.16%"
"South Africa","2019","$1.16B","0.53%"
"Zambia","2019","$4.54M","0.00%"
"Zimbabwe","2019","$3.78M","0.00%"
"Taiwan","2019","$1.53B","0.71%"
"Undeclared","2019","$14.5M","0.01%"